category,en,fr
table properties,licence(s),licence(s)
table properties,Creative Commons Attribution 4.0,Creative Commons Attribution 4.0
table properties,Creative Commons Attribution Share-Alike 4.0,Creative Commons Attribution Share-Alike 4.0
table properties,Creative Commons CCZero 1.0,Creative Commons CCZero 1.0
table properties,Open Data Commons Attribution License 1.0,Open Data Commons Attribution License 1.0
table properties,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0
table properties,Open Data Commons Public Domain Dedication and Licence 1.0,Open Data Commons Public Domain Dedication and Licence 1.0
table properties,Open Government License 2.0 (Canada),Open Government License 2.0 (Canada)
table properties,Open Government Licence 3.0 (United Kingdom),Open Government Licence 3.0 (United Kingdom)
table properties,Open Government Data License Taiwan 1.0,Open Government Data License Taiwan 1.0
table properties,Public Domain Mark,Marque de domaine public
table properties,Primary key(s),Clé(s) primaire
table properties,add foreign key,ajout clé étrangère
table properties,missing value(s),valeur(s) manquante
provenance information,preview,pré-visualisation
provenance information,edit,édition
package properties,id,id
package properties,version,version
package properties,contributor(s),contributeur(s)
package properties,role,rôle
package properties,author,auteur
package properties,contributor,contributeur
package properties,wrangler,spécialiste
package properties,maintainer,mainteneur
package properties,publisher,éditeur
package properties,organization,organisation
package properties,add contributor,ajout contributeur
error message,row is completely blank,ligne vide
error message,Failed: Guess column properties failed. Column properties must be set.,Erreur: Echec analyse propriétés colonne. Propriétés colonne doivent être définis.
error message,Failed: Guess column properties failed. Column property names must be set.,Erreur: Echec analyse propriétés colonne. Le nom de la colonne doit être défini.
error message,Failed: Guess column properties failed. All Column property names must be set and must be unique.,Erreur: Echec analyse propriétés colonne. Les noms de colonnes doivent être définis et uniques.
error message,Failed: Guess column properties failed.,Echec analyse propriétés colonne
error message,Success: Guess column properties succeeded.,Réussite: analyse propriétés colonne réussie
error message,All tabs must be saved before exporting.,Tous les onglets doivent être enregistrés avant export
error message,There is a problem with at least 1 package property. Please check and try again.,Il y a au moins un problème de propriété de package
error message,There was an error creating the data package.,Erreur lors de la création du package
error message,Provenance properties must be set.,Propriété Provenance doit être défini
error message,Package properties must be set.,Propriétés package doivent être définis
error message,"Package property, 'name' must be set.","Propriétés 'nom' du package doit être défini"
error message,There is at least 1 tab with the same title. Each tab must have a unique title.,Au moins un onglet porte le même nom. Chaque onglet doit avoir un nom unique.
error message,There is a required table or column property that is missing. Please check that all required properties are entered.,Une propriété requise manque. Vérifier toutes les propriétés requises.
error message,Table properties must be set.,Propriétés de la table doivent être définis.
error message,"Table property, 'name', must not be empty.","Propriétés 'nom' de la table doit être défini"
error message,Column properties must be set.,Propriétés de la colonne doivent être définis
error message,Column property names cannot be empty - set a Header Row,Nom de colonne ne peut pas être vide - définir une entête
error message,At least 1  source does not have a title.,Au moins 1 source sans titre.
error message,At least 1 contributor does not have a title.,Au moins 1 contributeur sans titre
error message,Foreign keys cannot be empty.,Clé étrangère ne peut pas être vide.
find panel, in column, dans la colonne
find panel, in table,dans la table
find panel, found, trouvé

